               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10287,            0.041792,            0.041205,           0.0018042,             0.14774,           0.0071514,           0.0015577,            0.092443,            0.036115,             0.03852,              0.0705,           0.0032778,           0.0032778
                   1,            0.094002,            0.048045,            0.034858,             0.77823,             0.04395,              0.0133,           0.0034357,            0.087083,            0.037977,             0.03652,            0.040369,           0.0064802,           0.0064802
                   2,             0.08828,            0.048158,            0.029225,             0.73887,             0.11603,            0.020438,           0.0053508,            0.091441,            0.042741,            0.029702,            0.010106,           0.0095506,           0.0095506
                   3,            0.083875,            0.047704,            0.025437,              0.4673,             0.16628,            0.065636,            0.017752,            0.081877,             0.03575,            0.024146,            0.009406,            0.009406,            0.009406
                   4,            0.079695,            0.044146,            0.021575,             0.39356,             0.17066,             0.11972,            0.035843,            0.077587,            0.036435,            0.022077,            0.009406,            0.009406,            0.009406
                   5,            0.075143,            0.041886,             0.01644,             0.45185,             0.25855,             0.16931,            0.057365,            0.070145,            0.033847,            0.017795,            0.009208,            0.009208,            0.009208
                   6,             0.07214,            0.039152,            0.013058,             0.53279,             0.37073,             0.26494,            0.098615,            0.063441,            0.031856,            0.010136,             0.00901,             0.00901,             0.00901
                   7,            0.068074,            0.038047,            0.010929,             0.56254,             0.40697,             0.29339,             0.10795,            0.062387,            0.029179,           0.0093644,            0.008812,            0.008812,            0.008812
                   8,            0.065069,            0.037422,           0.0093537,             0.60747,             0.39026,              0.3655,             0.11284,            0.064509,            0.028698,           0.0092576,            0.008614,            0.008614,            0.008614
                   9,            0.062884,            0.036502,           0.0090027,             0.66853,             0.41428,             0.40697,             0.16538,            0.057978,            0.027037,           0.0070009,            0.008416,            0.008416,            0.008416
                  10,            0.061381,            0.035489,           0.0083803,             0.72352,             0.44888,             0.47895,             0.20381,            0.055746,            0.025898,           0.0061214,            0.008218,            0.008218,            0.008218
                  11,            0.058615,            0.034322,           0.0076466,             0.70514,             0.48121,             0.50876,             0.23241,            0.051199,            0.026179,           0.0054972,             0.00802,             0.00802,             0.00802
                  12,             0.05666,            0.033663,           0.0072519,             0.70697,             0.49953,              0.4904,             0.21472,             0.05229,             0.02709,           0.0055253,            0.007822,            0.007822,            0.007822
                  13,            0.056117,            0.033149,           0.0066414,             0.73295,              0.4973,             0.52872,              0.2465,             0.05119,            0.026472,           0.0045323,            0.007624,            0.007624,            0.007624
                  14,            0.054432,            0.033521,           0.0063449,             0.65499,             0.51556,             0.58914,             0.27829,            0.048497,            0.024916,           0.0046698,            0.007426,            0.007426,            0.007426
                  15,            0.054001,            0.032839,           0.0064346,             0.58468,              0.6428,             0.60236,             0.29129,            0.048905,            0.025032,           0.0046876,            0.007228,            0.007228,            0.007228
                  16,            0.052433,            0.033046,           0.0057863,             0.66845,             0.59245,              0.6272,             0.31126,            0.046217,            0.024234,           0.0043157,             0.00703,             0.00703,             0.00703
                  17,            0.051816,            0.032253,           0.0057507,             0.56813,             0.62517,             0.59217,             0.29489,            0.046771,            0.024853,           0.0039483,            0.006832,            0.006832,            0.006832
                  18,            0.050152,            0.031516,           0.0052147,             0.63825,             0.65011,             0.64074,             0.32886,            0.044905,            0.022911,           0.0034988,            0.006634,            0.006634,            0.006634
                  19,            0.049597,            0.030948,           0.0051166,             0.81256,             0.63856,             0.66636,             0.33821,            0.043263,            0.023074,           0.0035035,            0.006436,            0.006436,            0.006436
                  20,            0.049202,            0.030598,           0.0050685,             0.68812,             0.63187,              0.6446,              0.3333,            0.042786,            0.022464,             0.00357,            0.006238,            0.006238,            0.006238
                  21,            0.047996,            0.030527,           0.0050163,             0.70553,             0.61748,             0.64874,              0.3493,            0.044162,            0.022904,           0.0034754,             0.00604,             0.00604,             0.00604
                  22,            0.047695,            0.029934,           0.0046607,             0.70332,             0.65738,              0.6785,             0.36378,            0.041832,            0.022064,           0.0033329,            0.005842,            0.005842,            0.005842
                  23,            0.047059,             0.03084,           0.0045278,             0.65725,             0.68804,             0.68746,             0.36316,            0.040367,            0.021759,           0.0031535,            0.005644,            0.005644,            0.005644
                  24,            0.045733,             0.03044,           0.0044612,             0.61134,             0.66046,             0.64646,             0.34293,            0.042859,            0.022565,           0.0035158,            0.005446,            0.005446,            0.005446
                  25,            0.044593,            0.028448,           0.0042852,             0.75229,             0.63909,              0.6857,             0.36612,            0.039856,            0.021793,           0.0031275,            0.005248,            0.005248,            0.005248
                  26,            0.044022,            0.029698,           0.0042242,             0.74902,              0.6641,             0.69935,             0.37656,            0.039187,            0.021816,           0.0029955,             0.00505,             0.00505,             0.00505
                  27,            0.043432,            0.027851,           0.0037836,             0.74694,              0.6527,             0.70231,             0.38782,            0.039189,            0.021612,           0.0031206,            0.004852,            0.004852,            0.004852
                  28,            0.043414,            0.028685,           0.0039513,             0.67555,             0.71589,             0.69836,             0.39052,            0.038921,            0.021125,           0.0030965,            0.004654,            0.004654,            0.004654
                  29,            0.042465,            0.028631,           0.0039768,             0.75732,             0.68493,             0.70173,             0.40276,            0.037689,            0.020824,           0.0029757,            0.004456,            0.004456,            0.004456
                  30,            0.041833,            0.027569,            0.003626,             0.74147,             0.70134,             0.70419,             0.40111,            0.037903,            0.020585,           0.0029317,            0.004258,            0.004258,            0.004258
                  31,            0.041834,            0.027692,            0.003918,             0.68543,             0.72549,             0.68618,             0.39139,            0.037501,            0.021745,           0.0028134,             0.00406,             0.00406,             0.00406
